"CO","NO","NO2","NOX","O3","PM10","PM25"
0.44,8,26,34,2,34,32
0.11,0,6,7,59,32,24
0.97,21,40,60,20,61,36
0.39,0,18,19,96,66,41
0.26,1,18,19,24,20,11
0.42,2,29,31,7,37,25
0.14,2,8,9,16,13,10
0.25,1,18,19,11,19,9
0.46,9,33,42,4,24,16
0.22,7,14,22,18,19,11
0.31,1,16,17,56,48,17
0.22,1,13,14,39,36,13
0.85,15,48,63,31,58,47
0.39,1,29,30,10,24,14
0.51,5,25,30,29,27,18
0.05,1,9,10,75,25,9
0.49,1,32,34,3,43,13
0.33,1,14,15,91,58,27
0.66,42,32,74,2,31,18
0.16,2,13,15,56,29,12
0.35,7,23,30,2,26,20
0.12,1,8,9,21,12,7
0.15,1,14,15,15,15,7
0.22,0,13,13,89,42,34
0.14,1,13,14,30,23,13
1.07,63,26,89,1,46,26
